Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2004-11-17,414.708,418.475,412.451,413.206,1435.7644246236
2004-11-18,413.961,413.961,409.438,411.704,103.42842098373
2004-11-19,411.704,411.704,408.691,408.691,391.47101275563
2004-11-22,406.435,406.435,396.643,396.643,4113.782034611
2004-11-23,381.591,398.9,381.591,398.9,551.61824524658
2004-11-24,395.15,395.15,383.847,383.847,2752.5305584381
2004-11-25,384.613,406.435,384.613,398.9,1650.4062015038
2004-11-26,428.645,428.645,399.665,399.665,367.00407445841
2004-11-29,413.961,413.961,403.422,412.451,135.68029419371
2004-11-30,413.206,413.961,407.181,407.181,2055.2228169671
2004-12-01,407.181,413.575,407.181,413.575,130.11962639889
2004-12-02,414.329,414.329,413.575,413.575,189.06270502402
2004-12-03,421.486,429.004,413.206,429.004,1142.1611650569
2004-12-06,429.004,436.539,429.004,436.539,244.66938297227
2004-12-07,450.836,450.836,427.115,429.004,280.25765685915
2004-12-08,441.052,441.052,421.101,429.004,94.531352512014
2004-12-09,421.486,421.486,415.454,415.454,5.5606677948243
2004-12-10,419.607,424.5,419.607,424.5,4003.6808122736
2004-12-13,424.5,424.5,419.977,419.977,137.90456131165
2004-12-14,420.732,420.732,404.547,410.185,390.35887919667
2004-12-15,435.029,435.029,409.438,410.185,544.94544389279
2004-12-16,410.967,413.961,407.181,407.181,311.39739651016
2004-12-17,407.181,407.181,402.677,406.435,972.0047305353
2004-12-20,413.961,413.961,406.435,411.326,836.32443634159
2004-12-21,429.004,429.004,405.68,405.68,560.51531371829
2004-12-22,406.435,406.435,406.435,406.435,133.45602707579
2004-12-23,413.961,413.961,402.677,402.677,122.33469148614
2004-12-27,398.9,410.185,398.9,410.185,275.80912262328
2004-12-28,406.435,407.577,398.154,398.154,440.40488935009
2004-12-29,398.154,409.438,396.643,409.438,273.58485550536
2004-12-30,399.665,406.435,397.399,400.419,884.14617937708
2004-12-31,400.419,400.419,391.373,400.033,141.24096198854
2005-01-03,395.519,400.033,394.773,394.773,311.39739651016
2005-01-04,395.897,398.9,395.15,395.15,3845.7578469005
2005-01-05,395.15,398.9,393.63,395.15,1397.9518836188
2005-01-06,400.033,405.68,400.033,405.68,187.95057146506
2005-01-07,405.68,406.435,402.677,402.677,1512.5016401922
2005-01-10,406.435,406.435,406.435,406.435,13.345602707579
2005-01-11,406.435,406.435,400.033,400.033,470.43249544214
2005-01-12,400.033,400.033,400.033,400.033,106.76482166062
2005-01-13,412.837,433.527,406.435,426.765,6052.2308278868
